Corresponding Authors,Pubs Num
"Jagadish, S V Krishna",44
"Ciampitti, Ignacio Antonio",41
"Bai, Guihua",39
"Poland, Jesse A",33
"Prasad, P V Vara",31
"Jugulam, Mithila",20
"Zhang, Guorong",16
"Akhunov, Eduard D",14
"Tesso, Tesfaye T",13
"Upadhyaya, Hari Deo",13
"Durrett, Timothy P",12
"Lollato, Romulo P",12
"Obour, Augustine K",12
"Friebe, Bernd",10
"Holman, Johnathon D",10
"Liu, Sanzhen",10
"Gill, Bikram S",8
"Park, Sunghun",8
"Perumal, Ramasamy",8
"Smith, Charles Michael",8
"Valent, Barbara",8
"Kumar, Vipan",7
"Morris, Geoffrey P",7
"Schrick, Kathrin",7
"Zhang, Wei",7
"Braun, Ross C",6
"Jha, Uday Chand",6
"Kang, Manjit S",6
"Welti, Ruth",6
"Little, Christopher R",5
"Crain, Jared",4
"Djanaguiraman, Maduraimuthu",4
"Fernandez, Javier A",4
"Fu, Jianming",4
"Mishra, Divya",4
"Stewart, Zachary P",4
"White, Frank F",4
"Aguilar, Jonathan",3
"Assefa, Yared",3
"Channa, B Rajashekar",3
"Garrett, Karen A",3
"Gurumurthy, S",3
"Hay, Marshall M",3
"Hong, Mu",3
"Lacasa, Josefina",3
"Li, Yonghui",3
"Narayanan, Sruthi",3
"Nouri, Shahideh",3
"Pliakoni, Eleni D",3
"Qiu, Fan",3
"Ramos, Oscar F",3
"Rupp, Jessica L Shoup",3
"Schapaugh, William T",3
"Serba, Desalegn D",3
"Suleria, Hafiz Ansar Rasul",3
"Sunoj, V S John",3
"Tiwari, Manish",3
"Veenstra, Rachel L",3
"Xu, Yunfeng",3
"Adee, Eric",2
"Boyer, Cheryl R",2
"Carcedo, Ana J P",2
"Chen, MingShun",2
"Cloyd, Raymond A",2
"Cook, David E",2
"Cruz, C D",2
"Demarco, Paula Andrea",2
"Dille, Johanna Anita",2
"Donnelly, Ryan C",2
"Fritz, Allan",2
"Jankowiak, Ryszard",2
"Jha, Prakash Kumar",2
"Kouame, Koffi BadouJeremie",2
"Krishna Jagadish, S V",2
"Lim, Wansang",2
"Marziotte, Lucia",2
"Min, Doohong",2
"Nippert, Jesse B",2
"OKeefe, Kimberly",2
"Olson, Bradley J S C",2
"Palmero, Francisco",2
"Poudel, Ravin",2
"Rajashekar, Channa B",2
"Rife, Trevor W",2
"Sarto, Marcos V M",2
"Schwalbert, Raissa",2
"Sharda, Vaishali",2
"Shiva, Sunitha",2
"Siliveru, Kaliramesh",2
"Stack, James P",2
"Stamm, Michael",2
"Tian, Bin",2
"Tiwari, Vijay K",2
"Toomajian, Christopher",2
"Trick, Harold N",2
"Veach, Allison M",2
"Wang, Xu",2
"Wong, Brett J",2
"Wu, Qingyu",2
"Xu, XiaoTing",2
"AguirreRojas, Lina Maria",1
"Aldrich, Charles G",1
"Antony, Reshma M",1
"Awika, Joseph M",1
"Bachle, Seton",1
"Bai, Jianfa",1
"Balboa, G R",1
"Bastos, Leonardo M",1
"Batista, Lucas Alexandre",1
"Bheemanahalli, Raju",1
"Bradford, BJ",1
"Bremer, D J",1
"Brown, Susan J",1
"Butters, Jessica",1
"Caragea, Doina",1
"Chambers, Edgar IV",1
"Chen, Hui",1
"Clinesmith, Marshall A",1
"Connell, R Kent",1
"Correndo, Adrian A",1
"Cowan, Jeremy S",1
"Cruppe, Giovana",1
"Dhanda, Sachin",1
"Edwards, C L",1
"Felderhoff, Terry",1
"Fick, Walter H",1
"Ghanbarian, Behzad",1
"Giordano, Nicolas",1
"Goodband, Robert D",1
"Goodin, Douglas G",1
"Guzman, Victoria",1
"Hefley, Trevor J",1
"Hintz, Gabriel",1
"Hunter, David",1
"Islam, Md Mazharul",1
"Jha, Gaurav",1
"Joseph, L Moyer",1
"Jumpponen, Ari",1
"Klein, Peter",1
"Koo, DalHoe",1
"Lancaster, Sarah",1
"Lee, Sonny T M",1
"Lei, Li",1
"Lemes da Silva, Cristiano",1
"Leslie, John F",1
"Lilja, Nina K",1
"Lin, Xiaomao",1
"Liu, Na",1
"Marla, Sandeep R",1
"Massigoge, Ignacio",1
"Maswada, Hanafey Farouk",1
"Meyeres, Tyler",1
"Middendorf, B Jan",1
"Miller, Rebecca",1
"Miller, Sherry",1
"Moghbel, Farzam",1
"MonteiroRiviere, Nancy A",1
"Morgan, Taylar",1
"Obeng, Eric",1
"Oh, Myungmin",1
"Olatoye, Marcus",1
"OliveiraGarcia, Ely",1
"Ott, Jacqueline P",1
"Parker, Nathaniel",1
"Quellhorst, Hannah E",1
"Rafferty, Ryan J",1
"Raudenbush, Zane",1
"Rhodes, Davina H",1
"Rivard, Cary L",1
"Riviere, Jim E",1
"Rosso, Luiz Henrique Moro",1
"Santiago, Gustavo N",1
"Santos, Leticia Bernabe",1
"Schlegel, Alan",1
"Shah, Denis A",1
"Sharif, Muhammad Imran",1
"Shi, Jishu",1
"Shippy, Teresa",1
"Shore, Kayla",1
"Stahlman, Phillip W",1
"Stark, C R",1
"Su, Zhenqi",1
"ThomasSharma, S",1
"VanderWeide, Benjamin L",1
"Wang, Weiqun",1
"Wedel, Emily R",1
"Welch, Stephen M",1
"Williams, Kimberly A",1
"Yu, Jianming",1
"Yucel, Umut",1
"Zhang, Junli",1
"Zhang, Yixing",1
"Zhu, Kun Yan",1
"Zukoff, Sarah N",1
"de Borja Reis, Andre Froes",1
"de Oliveira Silva, Amanda",1
"van Versendaal, Emmanuela",1
